run_id,tag,epochs,val_acc_last,val_loss_last,train_acc_last,avg_nodes_last,policy_loss_last,val_acc_best,best_epoch,total_training_time_sec,avg_epoch_time_sec,last_epoch_time_sec,batch_size,hidden_dim,max_depth,max_children,pooling_mode,lr,weight_decay,lr_schedule,grad_clip,opt,num_rollouts,lambda_efficiency,beta_entropy,beta_policy,greedy_threshold,seed,infer_acc_percent,infer_avg_nodes,infer_sparsity_percent,infer_latency_ms_mean,infer_latency_ms_p50,infer_latency_ms_p90,infer_latency_ms_p99,infer_device,model_bytes,checkpoint_path,infer_mean_grow_prob,infer_above_threshold_pct
0,k0_poolmean_hd64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_rep0,10,89.25,0.3036,91.89,1.0,0.0,89.3,9,38.71863399099675,3.871861838301993,3.780030630005058,64,64,1,0,mean,0.001,0.0,cosine,1.0,adamw,1,0.0,0.01,0.5,0.5,42,88.74,1.0,0.0,0.0455,0.0444,0.0517,0.0564,cpu,235205,runs/20251220_025958/k0_poolmean_hd64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_rep0/k0_poolmean_hd64_lr0p001_bs64_wd0p0_d1_lam0p0_thr0p5_roll1_rep0.pt,,
1,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p3_roll3_rep0,10,89.05,0.3206,91.77,8.99,-1.772,89.05,10,135.43131712300237,13.543130617402493,13.398925556015456,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.0,0.01,0.5,0.3,42,88.3,7.0,0.0,0.3934,0.3811,0.4429,0.465,cpu,236218,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p3_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p3_roll3_rep0.pt,0.4998,100.0
2,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p35_roll3_rep0,10,89.05,0.3206,91.77,8.99,-1.772,89.05,10,135.02866095799254,13.502864950301591,13.467181388026802,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.0,0.01,0.5,0.35,42,88.3,7.0,0.0,0.3944,0.3772,0.4487,0.4943,cpu,236235,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p35_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p35_roll3_rep0.pt,0.4998,100.0
3,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p4_roll3_rep0,10,89.05,0.3206,91.77,8.99,-1.772,89.05,10,135.67074878897984,13.56707366790215,13.555749359016772,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.0,0.01,0.5,0.4,42,88.3,7.0,0.0,0.3879,0.3785,0.4257,0.4556,cpu,236218,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p4_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p4_roll3_rep0.pt,0.4998,100.0
4,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p42_roll3_rep0,10,89.05,0.3206,91.77,8.99,-1.772,89.05,10,137.0496508619981,13.70496383679856,13.541695066989632,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.0,0.01,0.5,0.42,42,88.3,7.0,0.0,0.3985,0.3872,0.4456,0.4663,cpu,236235,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p42_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p42_roll3_rep0.pt,0.4998,100.0
5,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p45_roll3_rep0,10,89.05,0.3206,91.77,8.99,-1.772,89.05,10,134.83337701801793,13.483336746299756,13.429166248010006,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.0,0.01,0.5,0.45,42,88.3,7.0,0.0,0.4019,0.387,0.452,0.4839,cpu,236235,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p45_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p45_roll3_rep0.pt,0.4998,100.0
6,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p5_roll3_rep0,10,88.92,0.3084,91.77,8.99,-1.772,89.03,8,136.1282117399969,13.6128200370993,13.638585601001978,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.0,0.01,0.5,0.5,42,88.27,3.42,51.14,0.2717,0.2813,0.3905,0.4537,cpu,236218,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p5_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p0_thr0p5_roll3_rep0.pt,0.5002,46.9
7,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p3_roll3_rep0,10,88.88,0.3239,91.83,8.96,-1.7706,88.98,8,151.47193244699156,15.147192178296972,17.290511750994483,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.01,0.01,0.5,0.3,42,88.46,7.0,0.0,0.397,0.3804,0.4518,0.4934,cpu,236235,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p3_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p3_roll3_rep0.pt,0.4985,100.0
8,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p35_roll3_rep0,10,88.88,0.3239,91.83,8.96,-1.7706,88.98,8,148.79506489197956,14.879505290309316,17.276879498007474,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.01,0.01,0.5,0.35,42,88.46,7.0,0.0,0.3888,0.3781,0.4314,0.467,cpu,236316,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p35_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p35_roll3_rep0.pt,0.4985,100.0
9,k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p4_roll3_rep0,10,88.88,0.3239,91.83,8.96,-1.7706,88.98,8,155.4331271900155,15.543311569199432,17.293810969014885,64,64,2,2,mean,0.001,0.0,cosine,1.0,adamw,3,0.01,0.01,0.5,0.4,42,88.46,7.0,0.0,0.3932,0.3825,0.4353,0.4609,cpu,236235,runs/20251220_025958/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p4_roll3_rep0/k2_poolmean_hd64_lr0p001_bs64_wd0p0_d2_lam0p01_thr0p4_roll3_rep0.pt,0.4985,100.0
